,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
93,6021501535,7/25/2014,430000.0,3,1.5,1580,5000,1.0,NO,NONE,Average,8 Good,1290,290.0,1939,0.0,98117,47.687,-122.386,1570,4500
94,6021501535,12/23/2014,700000.0,3,1.5,1580,5000,1.0,NO,NONE,Average,8 Good,1290,290.0,1939,0.0,98117,47.687,-122.386,1570,4500
313,4139480200,6/18/2014,1380000.0,4,3.25,4290,12103,1.0,NO,GOOD,Average,11 Excellent,2690,1600.0,1997,0.0,98006,47.5503,-122.102,3860,11244
314,4139480200,12/9/2014,1400000.0,4,3.25,4290,12103,1.0,NO,GOOD,Average,11 Excellent,2690,1600.0,1997,0.0,98006,47.5503,-122.102,3860,11244
324,7520000520,9/5/2014,232000.0,2,1.0,1240,12092,1.0,,NONE,Average,6 Low Average,960,280.0,1922,1984.0,98146,47.4957,-122.352,1820,7460
325,7520000520,3/11/2015,240500.0,2,1.0,1240,12092,1.0,NO,NONE,Average,6 Low Average,960,280.0,1922,1984.0,98146,47.4957,-122.352,1820,7460
345,3969300030,7/23/2014,165000.0,4,1.0,1000,7134,1.0,NO,NONE,Average,6 Low Average,1000,0.0,1943,0.0,98178,47.4897,-122.24,1020,7138
346,3969300030,12/29/2014,239900.0,4,1.0,1000,7134,1.0,NO,NONE,Average,6 Low Average,1000,0.0,1943,,98178,47.4897,-122.24,1020,7138
371,2231500030,10/1/2014,315000.0,4,2.25,2180,10754,1.0,,NONE,Very Good,7 Average,1100,1080.0,1954,0.0,98133,47.7711,-122.341,1810,6929
372,2231500030,3/24/2015,530000.0,4,2.25,2180,10754,1.0,NO,NONE,Very Good,7 Average,1100,1080.0,1954,0.0,98133,47.7711,-122.341,1810,6929
717,8820903380,7/28/2014,452000.0,6,2.25,2660,13579,2.0,NO,NONE,Average,7 Average,2660,0.0,1937,1990.0,98125,47.7142,-122.286,1120,8242
718,8820903380,1/2/2015,730000.0,6,2.25,2660,13579,2.0,NO,NONE,Average,7 Average,2660,0.0,1937,1990.0,98125,47.7142,-122.286,1120,8242
823,726049190,10/2/2014,287500.0,3,1.0,1810,7200,1.0,NO,NONE,Good,7 Average,1130,680.0,1954,0.0,98133,47.7493,-122.351,1810,8100
824,726049190,2/18/2015,431000.0,3,1.0,1810,7200,1.0,,NONE,Good,7 Average,1130,680.0,1954,0.0,98133,47.7493,-122.351,1810,8100
836,8682262400,7/18/2014,430000.0,2,1.75,1350,4003,1.0,NO,NONE,Average,8 Good,1350,0.0,2004,0.0,98053,47.7176,-122.033,1350,4479
837,8682262400,5/13/2015,419950.0,2,1.75,1350,4003,1.0,NO,NONE,Average,8 Good,1350,0.0,2004,0.0,98053,47.7176,-122.033,1350,4479
1084,9834200885,7/17/2014,360000.0,4,2.5,2080,4080,1.0,NO,NONE,Very Good,7 Average,1040,1040.0,1962,0.0,98144,47.572,-122.29,1340,4080
1085,9834200885,4/20/2015,550000.0,4,2.5,2080,4080,1.0,NO,NONE,Very Good,7 Average,1040,1040.0,1962,0.0,98144,47.572,-122.29,1340,4080
1127,8062900070,9/9/2014,272000.0,5,1.5,2550,6300,1.0,NO,NONE,Good,7 Average,1560,990.0,1959,0.0,98056,47.5014,-122.172,1380,6300
1128,8062900070,2/13/2015,369000.0,5,1.5,2550,6300,1.0,NO,NONE,Good,7 Average,1560,990.0,1959,,98056,47.5014,-122.172,1380,6300
1200,1231000510,9/22/2014,263000.0,3,1.75,1490,3800,1.0,NO,NONE,Average,6 Low Average,700,790.0,1913,0.0,98118,47.5554,-122.27,2180,4000
1201,1231000510,5/4/2015,510000.0,3,1.75,1490,3800,1.0,NO,NONE,Average,6 Low Average,700,790.0,1913,0.0,98118,47.5554,-122.27,2180,4000
1232,6117501820,6/18/2014,250275.0,2,1.0,790,11234,1.0,NO,NONE,Good,6 Low Average,790,0.0,1942,0.0,98166,47.4413,-122.349,1930,11871
1233,6117501820,4/28/2015,435000.0,2,1.0,790,11234,1.0,NO,NONE,Good,6 Low Average,790,0.0,1942,0.0,98166,47.4413,-122.349,1930,11871
1448,2228900270,8/12/2014,215000.0,2,1.0,1010,6000,1.0,NO,NONE,Good,6 Low Average,1010,0.0,1944,,98133,47.771,-122.353,1610,7313
1449,2228900270,2/12/2015,302000.0,2,1.0,1010,6000,1.0,,NONE,Good,6 Low Average,1010,0.0,1944,0.0,98133,47.771,-122.353,1610,7313
1462,3630120700,5/13/2014,757000.0,3,3.25,3190,5283,2.0,NO,NONE,Average,9 Better,3190,0.0,2007,0.0,98029,47.5534,-122.002,2950,5198
1463,3630120700,1/7/2015,765000.0,3,3.25,3190,5283,2.0,NO,NONE,Average,9 Better,3190,0.0,2007,0.0,98029,47.5534,-122.002,2950,5198
1574,7888000390,6/27/2014,140000.0,3,1.0,1060,7473,1.0,NO,NONE,Average,7 Average,1060,0.0,1959,0.0,98198,47.3699,-122.309,1320,7912
1575,7888000390,4/1/2015,235000.0,3,1.0,1060,7473,1.0,NO,NONE,Average,7 Average,1060,0.0,1959,,98198,47.3699,-122.309,1320,7912
1862,2143700830,10/6/2014,207000.0,4,2.5,2100,19680,1.5,,NONE,Average,6 Low Average,2100,0.0,1914,0.0,98055,47.4787,-122.23,1340,12300
1863,2143700830,3/12/2015,370000.0,4,2.5,2100,19680,1.5,NO,NONE,Average,6 Low Average,2100,0.0,1914,0.0,98055,47.4787,-122.23,1340,12300
2036,3395040550,7/28/2014,250000.0,3,2.5,1530,2890,2.0,NO,NONE,Average,7 Average,1530,0.0,2001,0.0,98108,47.5434,-122.293,1540,2890
2037,3395040550,4/29/2015,320000.0,3,2.5,1530,2890,2.0,NO,NONE,Average,7 Average,1530,0.0,2001,0.0,98108,47.5434,-122.293,1540,2890
2124,4345000510,10/15/2014,180500.0,3,2.5,1800,8518,2.0,NO,NONE,Average,7 Average,1800,0.0,1996,,98030,47.3643,-122.185,1770,7570
2125,4345000510,4/28/2015,325000.0,3,2.5,1800,8518,2.0,,NONE,Average,7 Average,1800,0.0,1996,0.0,98030,47.3643,-122.185,1770,7570
2491,9407110710,11/7/2014,195000.0,3,1.75,1510,8400,1.0,NO,NONE,Fair,7 Average,980,530.0,1979,0.0,98045,47.4476,-121.771,1500,10125
2492,9407110710,2/26/2015,322000.0,3,1.75,1510,8400,1.0,NO,NONE,Fair,7 Average,980,530.0,1979,0.0,98045,47.4476,-121.771,1500,10125
2494,1000102,9/16/2014,280000.0,6,3.0,2400,9373,2.0,,NONE,Average,7 Average,2400,0.0,1991,0.0,98002,47.3262,-122.214,2060,7316
2495,1000102,4/22/2015,300000.0,6,3.0,2400,9373,2.0,NO,NONE,Average,7 Average,2400,0.0,1991,0.0,98002,47.3262,-122.214,2060,7316
2500,1781500435,8/20/2014,260000.0,3,1.75,1580,7344,1.0,NO,NONE,Very Good,7 Average,1580,0.0,1911,,98126,47.5256,-122.38,1580,6207
2501,1781500435,2/25/2015,575000.0,3,1.75,1580,7344,1.0,NO,NONE,Very Good,7 Average,1580,0.0,1911,0.0,98126,47.5256,-122.38,1580,6207
2529,1232000810,9/12/2014,340000.0,3,2.5,1400,4800,1.0,NO,NONE,Average,7 Average,1200,200.0,1921,0.0,98117,47.6865,-122.379,1440,3840
2530,1232000810,3/26/2015,537000.0,3,2.5,1400,4800,1.0,NO,NONE,Average,7 Average,1200,200.0,1921,0.0,98117,47.6865,-122.379,1440,3840
2562,7856400240,6/27/2014,1620000.0,4,3.0,3900,9750,1.0,NO,EXCELLENT,Very Good,10 Very Good,2520,1380.0,1972,0.0,98006,47.5605,-122.158,3410,9450
2563,7856400240,2/11/2015,1650000.0,4,3.0,3900,9750,1.0,,EXCELLENT,Very Good,10 Very Good,2520,1380.0,1972,0.0,98006,47.5605,-122.158,3410,9450
2629,7983000200,10/5/2014,169575.0,3,1.0,1300,8284,1.0,NO,NONE,Average,7 Average,1300,0.0,1968,,98003,47.3327,-122.306,1360,7848
2630,7983000200,2/25/2015,250000.0,3,1.0,1300,8284,1.0,NO,NONE,Average,7 Average,1300,0.0,1968,0.0,98003,47.3327,-122.306,1360,7848
2974,9136103130,12/1/2014,430000.0,2,1.5,1090,4013,1.5,,NONE,Average,7 Average,1090,0.0,1900,0.0,98103,47.6652,-122.338,1390,4013
2975,9136103130,5/12/2015,685000.0,2,1.5,1090,4013,1.5,NO,NONE,Average,7 Average,1090,0.0,1900,,98103,47.6652,-122.338,1390,4013
3031,5083000375,10/27/2014,170000.0,3,1.0,1310,9529,1.0,NO,NONE,Average,7 Average,1310,0.0,1956,0.0,98198,47.4105,-122.295,1330,9529
