,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
94,6021501535,12/23/2014,700000.0,3,1.5,1580,5000,1.0,NO,NONE,Average,8,1290,290.0,1939,0.0,98117,47.687,-122.386,1570,4500
314,4139480200,12/9/2014,1400000.0,4,3.25,4290,12103,1.0,NO,GOOD,Average,11,2690,1600.0,1997,0.0,98006,47.5503,-122.102,3860,11244
325,7520000520,3/11/2015,240500.0,2,1.0,1240,12092,1.0,NO,NONE,Average,6,960,280.0,1922,1984.0,98146,47.4957,-122.352,1820,7460
346,3969300030,12/29/2014,239900.0,4,1.0,1000,7134,1.0,NO,NONE,Average,6,1000,0.0,1943,,98178,47.4897,-122.24,1020,7138
372,2231500030,3/24/2015,530000.0,4,2.25,2180,10754,1.0,NO,NONE,Very Good,7,1100,1080.0,1954,0.0,98133,47.7711,-122.341,1810,6929
718,8820903380,1/2/2015,730000.0,6,2.25,2660,13579,2.0,NO,NONE,Average,7,2660,0.0,1937,1990.0,98125,47.7142,-122.286,1120,8242
824,726049190,2/18/2015,431000.0,3,1.0,1810,7200,1.0,,NONE,Good,7,1130,680.0,1954,0.0,98133,47.7493,-122.351,1810,8100
837,8682262400,5/13/2015,419950.0,2,1.75,1350,4003,1.0,NO,NONE,Average,8,1350,0.0,2004,0.0,98053,47.7176,-122.033,1350,4479
1085,9834200885,4/20/2015,550000.0,4,2.5,2080,4080,1.0,NO,NONE,Very Good,7,1040,1040.0,1962,0.0,98144,47.572,-122.29,1340,4080
1128,8062900070,2/13/2015,369000.0,5,1.5,2550,6300,1.0,NO,NONE,Good,7,1560,990.0,1959,,98056,47.5014,-122.172,1380,6300
1201,1231000510,5/4/2015,510000.0,3,1.75,1490,3800,1.0,NO,NONE,Average,6,700,790.0,1913,0.0,98118,47.5554,-122.27,2180,4000
1233,6117501820,4/28/2015,435000.0,2,1.0,790,11234,1.0,NO,NONE,Good,6,790,0.0,1942,0.0,98166,47.4413,-122.349,1930,11871
1449,2228900270,2/12/2015,302000.0,2,1.0,1010,6000,1.0,,NONE,Good,6,1010,0.0,1944,0.0,98133,47.771,-122.353,1610,7313
1463,3630120700,1/7/2015,765000.0,3,3.25,3190,5283,2.0,NO,NONE,Average,9,3190,0.0,2007,0.0,98029,47.5534,-122.002,2950,5198
1575,7888000390,4/1/2015,235000.0,3,1.0,1060,7473,1.0,NO,NONE,Average,7,1060,0.0,1959,,98198,47.3699,-122.309,1320,7912
1863,2143700830,3/12/2015,370000.0,4,2.5,2100,19680,1.5,NO,NONE,Average,6,2100,0.0,1914,0.0,98055,47.4787,-122.23,1340,12300
2037,3395040550,4/29/2015,320000.0,3,2.5,1530,2890,2.0,NO,NONE,Average,7,1530,0.0,2001,0.0,98108,47.5434,-122.293,1540,2890
2125,4345000510,4/28/2015,325000.0,3,2.5,1800,8518,2.0,,NONE,Average,7,1800,0.0,1996,0.0,98030,47.3643,-122.185,1770,7570
2492,9407110710,2/26/2015,322000.0,3,1.75,1510,8400,1.0,NO,NONE,Fair,7,980,530.0,1979,0.0,98045,47.4476,-121.771,1500,10125
