,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,grade_cat,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,coordinates,close to water,closest_water
93,6021501535,7/25/2014,430000,3,1.5,1580,5000,1,NO,NONE,Average,8,Good,1290,290,1939,0,98117,47.687,-122.386,1570,4500,"(47.687, -122.38600000000001)",FALSE,2.947730478
94,6021501535,12/23/2014,700000,3,1.5,1580,5000,1,NO,NONE,Average,8,Good,1290,290,1939,0,98117,47.687,-122.386,1570,4500,"(47.687, -122.38600000000001)",FALSE,2.947730478
313,4139480200,6/18/2014,1380000,4,3.25,4290,12103,1,NO,GOOD,Average,11,Excellent,2690,1600,1997,0,98006,47.5503,-122.102,3860,11244,"(47.5503, -122.102)",FALSE,1.965275176
314,4139480200,12/9/2014,1400000,4,3.25,4290,12103,1,NO,GOOD,Average,11,Excellent,2690,1600,1997,0,98006,47.5503,-122.102,3860,11244,"(47.5503, -122.102)",FALSE,1.965275176
324,7520000520,9/5/2014,232000,2,1,1240,12092,1,,NONE,Average,6,Low Average,960,280,1922,1984,98146,47.4957,-122.352,1820,7460,"(47.4957, -122.352)",FALSE,1.245222857
325,7520000520,3/11/2015,240500,2,1,1240,12092,1,NO,NONE,Average,6,Low Average,960,280,1922,1984,98146,47.4957,-122.352,1820,7460,"(47.4957, -122.352)",FALSE,1.245222857
345,3969300030,7/23/2014,165000,4,1,1000,7134,1,NO,NONE,Average,6,Low Average,1000,0,1943,0,98178,47.4897,-122.24,1020,7138,"(47.4897, -122.24)",FALSE,1.88778369
346,3969300030,12/29/2014,239900,4,1,1000,7134,1,NO,NONE,Average,6,Low Average,1000,0,1943,,98178,47.4897,-122.24,1020,7138,"(47.4897, -122.24)",FALSE,1.88778369
371,2231500030,10/1/2014,315000,4,2.25,2180,10754,1,,NONE,Very Good,7,Average,1100,1080,1954,0,98133,47.7711,-122.341,1810,6929,"(47.7711, -122.34100000000001)",FALSE,3.902720623
372,2231500030,3/24/2015,530000,4,2.25,2180,10754,1,NO,NONE,Very Good,7,Average,1100,1080,1954,0,98133,47.7711,-122.341,1810,6929,"(47.7711, -122.34100000000001)",FALSE,3.902720623
717,8820903380,7/28/2014,452000,6,2.25,2660,13579,2,NO,NONE,Average,7,Average,2660,0,1937,1990,98125,47.7142,-122.286,1120,8242,"(47.7142, -122.286)",TRUE,0.675329305
718,8820903380,1/2/2015,730000,6,2.25,2660,13579,2,NO,NONE,Average,7,Average,2660,0,1937,1990,98125,47.7142,-122.286,1120,8242,"(47.7142, -122.286)",TRUE,0.675329305
823,726049190,10/2/2014,287500,3,1,1810,7200,1,NO,NONE,Good,7,Average,1130,680,1954,0,98133,47.7493,-122.351,1810,8100,"(47.7493, -122.351)",FALSE,4.098736528
824,726049190,2/18/2015,431000,3,1,1810,7200,1,,NONE,Good,7,Average,1130,680,1954,0,98133,47.7493,-122.351,1810,8100,"(47.7493, -122.351)",FALSE,4.098736528
836,8682262400,7/18/2014,430000,2,1.75,1350,4003,1,NO,NONE,Average,8,Good,1350,0,2004,0,98053,47.7176,-122.033,1350,4479,"(47.7176, -122.03299999999999)",FALSE,8.934203073
837,8682262400,5/13/2015,419950,2,1.75,1350,4003,1,NO,NONE,Average,8,Good,1350,0,2004,0,98053,47.7176,-122.033,1350,4479,"(47.7176, -122.03299999999999)",FALSE,8.934203073
1084,9834200885,7/17/2014,360000,4,2.5,2080,4080,1,NO,NONE,Very Good,7,Average,1040,1040,1962,0,98144,47.572,-122.29,1340,4080,"(47.571999999999996, -122.29)",FALSE,2.279316491
1085,9834200885,4/20/2015,550000,4,2.5,2080,4080,1,NO,NONE,Very Good,7,Average,1040,1040,1962,0,98144,47.572,-122.29,1340,4080,"(47.571999999999996, -122.29)",FALSE,2.279316491
